Model(SKU),Product Family/Collection,Product Category,Product Type,Product Title,Price US,Price CAN
S-6060,Bath,Sensor Faucets,,Symmons Ultra-Sense® Battery Powered Sensor Faucet - Finish Product,490.9,558.7
S-6060-G,Bath,Sensor Faucets,,Symmons Ultra-Sense® Battery Powered Sensor Faucet - Finish Product,517.15,586.7
S-6080,Bath,Sensor Faucets,,Symmons Ultra-Sense® Battery Powered Sensor Faucet - Finish Product,685,705.65
S-6080-G,Bath,Sensor Faucets,,Symmons Ultra-Sense® Battery Powered Sensor Faucet - Finish Product,711.25,733.65
S-6095,Bath,Sensor Faucets,,Symmons Ultra-Sense® Battery Powered Sensor Faucet - Finish Product,681.4,779.55
S-6095-G,Bath,Sensor Faucets,,Symmons Ultra-Sense® Battery Powered Sensor Faucet - Finish Product,707.65,807.55
S-6098,Bath,Sensor Faucets,,Symmons Ultra-Sense® Battery Powered Sensor Faucet - Finish Product,703.05,804.35
S-6098-G,Bath,Sensor Faucets,,Symmons Ultra-Sense® Battery Powered Sensor Faucet - Finish Product,729.3,832.35
S-6244,Bath,,,Symmons Ultra-Sense® Termination Box - Finish Product,62.85,59.05
S-6240,Bath,,,Symmons Ultra-Sense® Transformer - Finish Product,146.15,137.6
S-6240-12V,Bath,,,Symmons Ultra-Sense® Transformer - Finish Product,146.15,137.6
SPB-3510-1.5,Kitchen,Bar Sink Faucets,Contemporary,Symmons Dia® Single Handle Bar Sink Faucet - Finish Product,235,250.95
SPB-3510-STN-1.5,Kitchen,Bar Sink Faucets,Contemporary,Symmons Dia® Single Handle Bar Sink Faucet - Finish Product,305.5,326.25
,,,,Sample test demo product - Finish Product,,
S-9612-1.5,Bath,Single Handle Faucets|Lavatory Faucets,Transitional,Symmons Origins® Single Handle Lavatory Faucet - Finish Product,59.75,65.7
S-9612-STN-1.5,Bath,Single Handle Faucets|Lavatory Faucets,Transitional,Symmons Origins® Single Handle Lavatory Faucet - Finish Product,79.45,92
S-9610-1.5,Bath,Single Handle Faucets|Lavatory Faucets,Transitional,Symmons Origins® Single Handle Lavatory Faucet - Finish Product,53.05,58.4
S-9610-STN-1.5,Bath,Single Handle Faucets|Lavatory Faucets,Transitional,Symmons Origins® Single Handle Lavatory Faucet - Finish Product,72.8,84.65
SLC-9612-1.5,Bath,Centerset Faucets|Lavatory Faucets|Two Handle Faucets,Transitional,Symmons Origins® Two Handle Centerset Lavatory Faucet - Finish Product,66.95,73.65
SLC-9612-STN-1.5,Bath,Centerset Faucets|Lavatory Faucets|Two Handle Faucets,Transitional,Symmons Origins® Two Handle Centerset Lavatory Faucet - Finish Product,89.05,103.1
