Model(SKU),Product Family/Collection,Product Category,Product Type,Product Title,Price US,Price CAN
SLS-5510-STN-1.5,Bath,Single Handle Faucets|Lavatory Faucets,Transitional,Symmons Elmå¨ Single Handle Lavatory Faucet + - Finish Product,$277.90 ,$305.60 
SLS-5512-1.5,Bath,Single Handle Faucets|Lavatory Faucets,Transitional,Symmons Elmå¨ Single Handle Lavatory Faucet,$223.85 ,$246.20 
SLS-5512-1.5,Bath,Single Handle Faucets|Lavatory Faucets,Transitional,Symmons Elmå¨ Single Handle Lavatory Faucet + - Finish Product,$223.85 ,$246.20 
SLS-5512-SBZ-1.5,Bath,Single Handle Faucets|Lavatory Faucets,Transitional,Symmons Elmå¨ Single Handle Lavatory Faucet + - Finish Product,$292.50 ,$321.70 
SLS-5512-STN-1.5,Bath,Single Handle Faucets|Lavatory Faucets,Transitional,Symmons Elmå¨ Single Handle Lavatory Faucet + - Finish Product,$292.50 ,$321.70 
SLS-6710-1.5,Bath,Lavatory Faucets|Single Handle Faucets,Contemporary,Symmons Identity‰ã¢ Single Handle Lavatory Faucet,$140.45 ,$154.50 
SLS-6710-1.5,Bath,Lavatory Faucets|Single Handle Faucets,Contemporary,Symmons Identity‰ã¢ Single Handle Lavatory Faucet + - Finish Product,$140.45 ,$154.50 
SLS-6710-STN-1.5,Bath,Lavatory Faucets|Single Handle Faucets,Contemporary,Symmons Identity‰ã¢ Single Handle Lavatory Faucet + - Finish Product,$196.65 ,$216.30 
SLS-6712-1.5,Bath,Lavatory Faucets|Single Handle Faucets,Contemporary,Symmons Identity‰ã¢ Single Handle Lavatory Faucet,$157.90 ,$173.70 
SLS-6712-1.5,Bath,Lavatory Faucets|Single Handle Faucets,Contemporary,Symmons Identity‰ã¢ Single Handle Lavatory Faucet + - Finish Product,$157.90 ,$173.70 
SLS-6712-STN-1.5,Bath,Lavatory Faucets|Single Handle Faucets,Contemporary,Symmons Identity‰ã¢ Single Handle Lavatory Faucet + - Finish Product,$221.10 ,$243.20 
SLS-7000,Bath,Lavatory Faucets|Metering Faucets,Contemporary,Symmons Metering Faucet,$122.45 ,$189.20 
SLS-7000,Bath,Lavatory Faucets|Metering Faucets,Contemporary,Symmons Metering Faucet + - Finish Product,$122.45 ,$189.20 
SLS-7000-DP4,Bath,Lavatory Faucets|Metering Faucets,Contemporary,Symmons Metering Faucet,$159.20 ,$229.65 
SLS-7000-DP4,Bath,Lavatory Faucets|Metering Faucets,Contemporary,Symmons Metering Faucet + - Finish Product,$159.20 ,$229.65 
SLS-7000-DP4-G,Bath,Lavatory Faucets|Metering Faucets,Contemporary,Symmons Metering Faucet,$168.70 ,$236.75 
SLS-7000-DP4-G,Bath,Lavatory Faucets|Metering Faucets,Contemporary,Symmons Metering Faucet + - Finish Product,$168.70 ,$236.75 
SLS-7000-G,Bath,Lavatory Faucets|Metering Faucets,Contemporary,Symmons Metering Faucet,$131.95 ,$196.30 
SLS-7000-G,Bath,Lavatory Faucets|Metering Faucets,Contemporary,Symmons Metering Faucet + - Finish Product,$131.95 ,$196.30 
